内容,评分
江西九江学院大四女生失联转发扩散江西九江学院一女生在武汉江滩公园失联。 ,0.9891749885559468
我最了解和擅长13岁孩子心理发展80％的时间会留给孩子在这个年龄段的朋友其他20的时间视养育者预约的实际情况给有需要的朋友避免大家彼此浪费时间武汉艾科奥德什么年龄段啊,0.9979648172783409
盘前思考20200102继续划重点点赞是美德1外盘美股高位盘整2大事① 12月官方PMI继续好转② 央行全面降准③ 武汉肺炎是病毒性3仓位5成以内较为合适4策略① 假期最大消息是全面降准这个其实是预计内的只是时间放在新年第一天为提振新年信心的感觉更强 全文,0.00047192917901472953
武汉卫健委通报不明原因肺炎初步调查表明未发现明显的人传人证据未发现医务人员感染。 ,0.01229774480699486
江西九江学院大四女生失联江西九江学院大四女生失联最后出现地点在武汉市武昌江滩公园希望早日回家🙏 ,0.9699762084491523
江西女大学生失联前最后画面江西女大学生失联前情绪低落独自走过武汉长江大桥希望早日平安回家🙏 ,0.9999708470063476
布病发病数总体持续上升 疫苗难解防控难题畜用疫苗对牛羊无致病性但对人类有致病性若在给家畜做疫苗接种时个人防护做的不好就有可能被感染这就造成许多畜牧工布病发病数总体持续上升 疫苗难解防控难题来自财新客户端武汉香港又查出两例肺炎入境所以到底去哪呢陷入进退两难的局面 ,0.9999999962477886
武汉不明原因肺炎已排除SARS病原武汉不明原因肺炎最新消息已排除SARS、无死亡病例、均已隔离。期待好消息。 ,0.0073065776337079
武汉下雪怎么你们南方的武汉都能下雪我们北方的山东下个雪就这么难 ,0.006652258214204898
武汉不明原因肺炎导致1人死亡早发现、早诊断、早隔离、早治疗。希望大家早日康复🙏 专家解读武汉不明原因肺炎 ,0.3987419924019867
法式领春天马上安排上宜家开学再安排一次花花花想要好多好多美美的花花🌹 🌷 💐 🌸 🌺 武汉 ,0.8618553100057095
中国已分享新型冠状病毒基因序列信息世界卫生组织12日宣布已收到中国分享的从武汉不明原因病毒性肺炎病例中检测到的新型冠状病毒基因序列信息。负责任大国 ,0.6698251467881458
老公终于出差回来啦他说我这次去武汉对藕有了新的认识。我问为什么他说满大街都在吃藕汤那个藕好粉好好吃哦。我说我自从看了陈情令也对藕有了新的认识🙈 ,0.9604867555132054
武汉下雪怎么你们南方的武汉都能下雪我们北方的山东下个雪咋就这么难 ,0.006652258214204898
武汉卫健委通报不明原因肺炎情况武汉通报不明肺炎不排除人传人有家庭聚集性病例。 ,0.06669123765472107
2005年珞珈科学冬令营经管组。到武汉第一天就开始发烧顶着39℃多高烧考的试还在校医院打了2天吊针。直到回家才算好利索。,0.9937814014678421
武汉新增4例新型冠状病毒肺炎病例   武汉新增4例新型冠状病毒肺炎病例。。。      这种新型冠状病毒的DNA不是搞清楚了吗针对性治疗方案现在的可靠性怎么样治愈的和病故的病例治疗和个体免疫力方面的差异有多大      目前武汉市民还是尽其所能地做好预防工作吧口罩和生活、工作以及公众场合 全文,0.9999332019105261
武汉太有亲切感了同在鲁磨路吃过羊肉串那时还不认识你,0.07255981287628177
事情两面看因为官方一直没有结果网民并没有更好的表达渠道。他们只有相信人民日报的影响力。评论的抖机灵能不能适度一点啊条新闻说的是武汉肺炎这么严肃的事情拿来抖机灵,0.9768301748220947
武汉肺炎越来越严重了快递快停运了建议大家年前多囤点口罩吧。普通医用口罩能防飞沫传播的即可。 沈阳 ,0.04382454099295008
上海肺炎  上海肺炎深圳肺炎。。。深圳的没去过武汉上海的还在等进一步消息确认🙏     2019年是超级暖冬气候确实反常得不像话这种反常气候是比较容易滋生疫情的。还是应该提高警惕吧该买的口罩买起来医用的那一种也要常洗手     政府和民间小心驶得万年船总归是不错 全文,0.00012201679127366027
胡侃 老胡今天要说说武汉新型肺炎。虽然它的疫情传播不像非典那样汹涌致死率也没非典高但它的传染源和传播途径至今未搞清楚潜在风险不容低估。春节将至我们面临既过好一个祥和的节日又坚决防止武汉新型肺炎扩散的考验。希望各地加强排查及时全面向公众公布信息。 胡锡进的微博视频 ,0.9986177944200897
买口罩 买口罩 买口罩就算退一万步这个病毒最后啥事没有 你买点口罩防雾霾不好吗N95口罩或者医用口罩武汉新增136例新型冠状病毒肺炎病例 ,0.0020960449920363056
武汉肺炎升级扩散。医药大涨影视旅游大跌资本市场就是这么现实都是用脚投票谁管你上周是涨是跌 ,0.9050584802076168
照目前这个传播速度武汉不会给封城了吧 ,0.4971794556322291
武汉卫健委发布病毒性肺炎高发注意事项 ,0.6958617793912542
还是开赌场的赚钱最容易赚7个亿和我赚700似的微博股票东方财富韩国出现一武汉肺炎确诊病例 ,0.08660535509350586
武汉卫健委发布病毒性肺炎高发注意事项 这是北京协和医院的内部资料整体来说大家不要慌乱也不要乱传消息既然有治愈的案例就不要乱想相信医务工作者可以保护好大家武汉发现不明原因肺炎 ,0.675873395627237
没有特殊情况不要去武汉,0.049071096814727544
浙江发现5例武汉来浙并有发热等症状患者  浙江发现5例武汉来浙并有发热等症状患者。。。     现在这个关键时点上就不要顾忌啥过年的气氛了该动员紧急行动就动员吧压力和责任要层层落实不打折扣的传递到位该加班加班后面再补回来该到一线坐镇指挥的就去一线部署全国范围内抽调精 全文,0.007931327708094571
北京确诊2例新型冠状病毒感染肺炎病例  北京确诊2例新型冠状病毒感染肺炎病例患者近期均有武汉旅行经历。。。     武汉是病源无疑了吧仅就该新型冠状病毒感染而言武汉是妥妥的中心城市了     2003年我国在抗击防治非典的危巨工作中曾经积累了很多非常有益的疫情防控经验现在须要提高 全文,0.7939168348928552
胡侃 今天全国的武汉肺炎确诊病例达到了217例。小心些吧虽然不很清楚病毒的传染方式但出门多带口罩回家多洗手总不会有错。同时也不至于真的认为非典又来了按照非典模式自我管束。我们的一生会碰到各种事情别什么都不当事也别一碰上事就被吓着。 胡锡进的微博视频 ,0.01789870756295653
今天听到北京朝阳医院眼科主任等三名医护人员被一男子用菜刀砍伤的消息不仅震惊尤其格外地心疼。武汉肺炎正在威胁公众的安全医护人员们平时是保护我们的屏障一旦有重大疫情出现他们就是走上前线的战士们啊。现在还不清楚那名男子为什么要对几名医生下毒手但我相信这个世界上就不存在支持他 全文,0.9858951578527374
昨晚老胡写武汉肺炎的时候情况还没那么严重。一觉醒来大量确诊病例新增感觉到气氛一下子不一样了。2003年非典的时候北京是疫情中心我们经历了艰难的时刻。在大家最慌乱的时刻有一天我看到街上有人开车在主路上逆行我当时眼泪都掉下来了很心疼这个城市。非典的致死率很高北京当时实 全文,0.09484715242391073
建议看完再评价而且我不闲我觉得吧 你是闲的～ 当然母亲就是爱胡思乱想 我先生小时候和他双胞胎哥哥异常安静 别的小男孩都很淘气  幼儿园老师还特意对我婆婆说担心他俩智商有问题 结果呢 现在一个是墨尔本大学博士毕业在武汉大学做特聘研究员 一个是导演也和大明星合作拍了院线电影,0.9999999990960826
武汉加油你们实验室中国顶级啦。,0.9799479802424116
嘿武汉啊,0.15000000000000002
果然武汉周边传染开了,0.021632979052158996
N武汉毒王 查看图片 超级传播者昨钟院士还说到超级传播者SARS毒王感染了十几个亲戚 五十多个医务人员毒王神经科他原本就还有其他的病吧是要看其他病的这谁想得到啊,0.1399263891444954
武汉封城吧🍗🍗武汉新型肺炎患者救治均由政府买单钟南山肯定新型冠状病毒肺炎人传人 武汉CDC哭晕在厕所新型冠状病毒肺炎纳入法定传染病 ,7.125885621384054e-05
武汉新型肺炎患者救治均由政府买单 社会主义优越性jpg 那个野味市场平时监管何在一开始瞒后面压再后面骗瞒不住压不了骗不过的时候才认真危机公关这几个步骤能改一改吗明明疫情严重一开始总是哄着怕慌乱爆发不打脸吗,0.08488024153020168
人性化 🍗🍗 10年不和铁路部门抬杠🍗🍗🍗  强制退票20年不杠  铁路部门免收武汉多站火车退票手续费,1.196804334524515e-07
话说武汉的快递还发不发啊来自武汉的快递还收不收好在武汉物流的快件你们要不要管个控消个毒的    ,2.7366860549937755e-06
去过武汉从武汉返乡的外地人自觉的隔离吧,0.20159247683558335
转谁能想到今年各档贺岁大片的最大敌人是来自武汉的肺炎今年的票房怕是要比预期都少个零吧侧重说一句听说徐峥和人签了好几亿的票房对赌今次怕是要把前几年赚的都吐出来吧。世事无常个人的奋斗当然重要但是也要考虑到历史的进程。再侧重佩服一下吴京老师福神财神双附体完美错过 全文,0.9999999895964798
武汉成立疫情防控指挥部 闭嘴你有东方财富 ,0.41166772099158977
武汉成立疫情防控指挥部 如我所说这种级别的疫情只是需要时间就能攻克要相信科学技术的进步要相信政府的管理提升一个月后回头看今天的下跌就是场闹剧罢了武汉卫健委发布病毒性肺炎高发注意事项 ,0.9924166518726275
武汉卫健委发布病毒性肺炎高发注意事项 收盘了说几句对当前行情的思考1、3050的缺口被封闭了这个不是坏事后面的隐患消除了一个对中长线行情来说反而说利好2、目前短线情绪主要是疫情扩散由于规模和杀伤力不可知叠加春节假期较长大资金决定先离场观望这是没毛病的资金大的 全文,0.9999999093638527
投资就是这样谁也不知道短线情绪怎么走疫情被媒体发酵资金避险意思大增早盘就是这个因素导致。冷静点情绪退潮后自然会恢复。。。武汉卫健委发布病毒性肺炎高发注意事项今日看盘 ,0.9999997012387223
盘前思考20200121继续划重点点赞是美德1外盘美股休市2大事① 武汉肺炎疫情扩大② LPR利率未变化③ 易主席接受媒体专访3仓位7成以内较为合适4策略① 昨天市场继续逆情绪开盘调整后一路上涨收了个放量的金针阳线② 多看看周线和月线很明显的多头 全文,0.29088325199637943
今日看盘 武汉肺炎疫情扩散你恐慌吗微博股票 澄泓研究君的微博投票 ,0.9880112468773858
84岁再战防疫最前线钟南山的两张照片让人肃然起敬从广州到武汉再到北京连日来84岁的钟南山院士工作和行程安排得满满当当。18日傍晚84岁的钟南山从广州出发赶往武汉。当天航班已买不到机票他挤上了傍晚17点开往武汉的高铁列车。由于春运高铁票紧张他被安顿在了餐车 全文,0.002181346450924271
武汉成立疫情防控指挥部   武汉成立疫情防控指挥部At last       另外大武汉也开始实施进出武汉人员管控了领导批示以后效率果然提升了很多点个赞👍👍      我国的行政体制执行力还是非常强的有着极高的行政效率和社会动员能力这个没人会不服吧集中力量办大事是咱们的 全文,0.9997958316102459
国内确诊291例新型冠状病毒肺炎病例 武汉15名医务人员感染新型冠状病毒 武汉成立疫情防控指挥部 钟南山肯定新型冠状病毒肺炎人传人  潜伏期潜伏期是最难处理的问题 向所有医务人员致敬 愿平安,0.00019324039825197037
胡侃 武汉市今早宣布的15名被感染的医务人员中有14人是被同一名患者感染的。星期二晚上湖北黄冈宣布新增12个确诊病例其中5例是医生和护士。今天湖北的医生护士们都是英勇的战士而武汉已经成了抗击新型冠状病毒的最前线。打赢武汉保卫战才会有全国的胜利。 胡锡进的微博视频 ,0.012214739881304837
网传消息说国家卫健委武汉肺炎专家组成员王广发已经被确诊感染新型冠状病毒肺炎他参加了在武汉的会诊。有一些人扒出他10日曾经表示目前病人的病情和整体疫情处于可控状态的媒体报道以此对他进行嘲笑。老胡强烈反对针对王广发教授的这种刻薄。对新型冠状病毒的认识是逐渐增加积累的很多医 全文,0.9999814865262197
武汉市有关人士刚刚给老胡打来电话讲了一些武汉公安局依法处理那8人发布不实消息的情况。他说公安部门当时是把那8位市民请过来调查过程非常友好客气这些情况都有录像可以证明他说那8位市民没有一人被拘留、被处罚。该人士表示现在回头看那8人说这次的病毒就是SARS不准确但 全文,2.884807581704507e-08
关于武汉那8个人的事我相信当时武汉公安部门掌握的信息也是不足的而且武汉市卫健委对疫情的认识与今天大概也不一样当时可能的确没有发现人传人的情况也没有医护人员被感染。但是现在回头看那8个人说这种病就是SARS等等离事实的距离就不像当时看上去那样大了。加上他们不是专业人士他们 全文,0.0017993546541702488
关于武汉市公安系统之前因传播武汉病毒性肺炎不实消息而处理8人的事情希望武汉市公安局重新开展调查并依据更新的事实情况做出结论通报社会。我认为我们的政府需要有这样的勇气。实事求是认真防错纠错与公众交心只会增加政府的公信力和民众的支持。 ,0.005501049368387023
在说了这一切之后我还是要向作为整体的武汉市敬个礼。我也要同时呼吁大家在这个时候支持武汉市支持武汉卫健委和一线的各大医院。武汉的医护人员现在很英勇干部们要组织全市的抗新肺炎斗争也殊为不易。武汉市民们当前的感受可想而知。武汉现在是主战场希望那里振作前面的战斗还很长。,0.4207747392179759
武汉市卫健委今天凌晨通报有15名医务人员感染了新型冠状病毒肺炎。这么重要的信息为什么不早点通报如果钟南山昨晚不说14名医务人员被感染是不是武汉市卫健委会继续隐去这个信息之所以这个信息重要因为它是新型肺炎人传人的关键证据之一而且它从一个侧面展示了新型冠状病毒人传人的强度 全文,0.08891106926341263
疫情有可能在变化病毒有可能在变异中国社会需要能跟上变化打赢与罪恶病毒的这场新遭遇战。不要在这个时候过度指责一线的指挥官和战士了。出了这么大的疫情武汉肯定有很多人很难过。回头总结一件事情和在事情刚露头时做预见和展望难度是截然不同的要做的各种考量也会不同。这件事到了此时 全文,0.9999988834143037
一边是武汉15名医务人员感染新型冠状病毒另一边是陶勇医生曾帮患者减免费用 。多少救命的柳叶刀消失于狂徒的杀人刀多少先进文明的神迹消失于暴民的一把火 ,0.4912367112895235
 我院14疑似市里200疑似当然不排除普通肺炎在现有检测条件下无法排除。我院第一个住进来的是从武汉开会回来的政协委员刚开始住干部病房这周隔离到感染科委员嫌条件不好要见领导。在院至少半个月了吧从来不戴口罩到处溜达并且不允许进他病房的医护戴口,3.2478692582049717e-06
乘飞机至沈阳途中在武汉机场停留2小时。。。,0.03172508200316215
